ITEM_ID,TITLE,AUTHOR,GENRE,PUBLISHER
9781779501127,Watchmen (2019 Edition),Alan Moore,Comics ,National Geographic Books
9781302931100,Moon Knight Vol. 1,Jed Mackay,Comics ,Marvel
9781302377052,Daredevil,Frank Miller,Comics ,Marvel Entertainment
9780735211292,Atomic Habits,James Clear,Business ,National Geographic Books
9780297859406,Gone Girl,Gillian Flynn,Fiction,Hachette UK
9781302930356,Moon Knight Vol. 1,Jed Mackay,Comics ,Marvel
9781302944766,Kang,Stan Lee,Comics ,Marvel Entertainment
9781302940607,Kang The Conqueror,Collin Kelly,Comics ,Marvel Entertainment
9781779509475,Batman: Damned,Brian Azzarello,Comics ,DC Black Label
9781779509772,Flashpoint: The World of Flashpoint Featuring Batman,Brian Azzarello,Comics ,DC Comics
9783862014699,Flashpoint,Geoff Johns,Comics ,DC
9780593507537,Lessons in Chemistry,Bonnie Garmus,Fiction,Random House
9780753827666,Gone Girl,Gillian Flynn,Fiction,Hachette UK
9780785190172,Night of the Living Deadpool,null,Comics ,Marvel
